DISPUTE_ID,Customer_ID,Transaction_Date,Chargeback_Date,DISPUTE_TYPE,PRODUCT_TYPE,Amount,Merchant_ID,Customer_Documentation,ASSIGNED_STAFF,STATUS,CUSTOMER_STATEMENT,Outcome,Decision_Date,Resolution Time,Fraud_Indicator
DS000000,C000000,2020-01-01 00:00:00.000000000,2020-03-28 00:00:00.000000000,Return Policy Violation,Toys and Games,68398.86,MC000051,Receipt,Staff_344,Resolved,"I recently purchased a toy from a popular online retailer, and I was disappointed with the quality of the product. The toy was poorly constructed and did not meet my expectations. As a customer, I am entitled to a refund or replacement product. I have provided the retailer with a receipt as proof of purchase,",resolved in favor of merchant,2020-08-20 00:00:00.000000000,145,True
DS000001,C000084,2020-01-02 02:19:49.189189189,2020-03-05 02:19:49.189189189,Merchant Error,Toys and Games,3714.56,MC000075,Service Agreement,Staff_107,Resolved,The product was a toy and the dispute type was Merchant Error. The customer disputed the charge because they were not satisfied with the product. The product was a toy and the dispute type was Merchant Error.,resolved in favor of merchant,2020-08-02 02:19:49.189189189,150,False
DS000002,C000021,2020-01-03 04:39:38.378378378,2020-03-10 04:39:38.378378378,Product Defective,Beauty and Personal Care,82265.16,MC000031,Fraud Report,Staff_073,Pending,"I recently purchased a product from a popular online retailer, and I was disappointed to find that it was defective. The product, which was a Beauty and Personal Care item, was supposed to be gentle and non-irritating, but it actually caused my skin to become red and irritated. I tried",resolved in favor of member,2020-09-08 04:39:38.378378378,0,True
DS000003,C000045,2020-01-04 06:59:27.567567567,2020-03-05 06:59:27.567567567,Services Rendered but Unsatisfactory,Groceries,83935.26,MC000058,Service Agreement,Staff_252,Resolved,"I had a bad experience with Groceries. The customer service was terrible, and they did not respond to my questions about the product. I will not be using their services again.",resolved in favor of member,2020-05-16 06:59:27.567567567,72,False
DS000004,C000071,2020-01-05 09:19:16.756756756,2020-01-22 09:19:16.756756756,Product Defective,Baby care,50983.08,MC000075,Receipt,Staff_302,Pending,"Thank you for purchasing our product. We are here to ensure you have a great experience with our product. We understand that sometimes products may not meet your expectations, and we are here to address any concerns you may have. If you have any questions or concerns about the product, please do not hesitate to reach out to",resolved in favor of merchant,2020-03-07 09:19:16.756756756,0,False
DS000005,C000073,2020-01-06 11:39:05.945945945,2020-01-30 11:39:05.945945945,Product Defective,Furniture,8723.75,MC000043,Bank Statement,Staff_247,New,"I am disappointed with the product that I received from this merchant. The furniture that I ordered was supposed to be of high quality, but it was not. The material was flimsy and the design was subpar. I have been trying to contact the merchant for a refund, but have not received a response. I",resolved in favor of member,2020-05-03 11:39:05.945945945,0,True
DS000006,C000076,2020-01-07 13:58:55.135135135,2020-02-19 13:58:55.135135135,Product Defective,Health and Hygiene,4958.91,MC000097,Receipt,Staff_288,Pending,The customer had purchased a health and hygiene product and the dispute was related to product defect. The customer provided a receipt as documentation for the chargeback. The dispute was pending review by the assigned staff member.,resolved in favor of member,2020-04-03 13:58:55.135135135,0,False
DS000007,C000029,2020-01-08 16:18:44.324324324,2020-02-16 16:18:44.324324324,Billing Descriptor Issue,Footwear,8391.84,MC000035,Fraud Report,Staff_129,Pending,"I'm disappointed with my purchase from this merchant. I ordered a pair of shoes online and they arrived in good condition, but when I tried them on, they were too small. I contacted the merchant to request a refund, but they have been unresponsive. I have tried contacting them multiple times, but",resolved in favor of merchant,2020-06-01 16:18:44.324324324,0,False
DS000008,C000039,2020-01-09 18:38:33.513513513,2020-04-07 18:38:33.513513513,Incorrect Amount Charged,Sports Equipments,61040.56,MC000002,Fraud Report,Staff_248,Pending,"The product that I received from Merchant_ID: MC000002 was not as described in the advertisement. I was charged $61040.56 for the item, but when I received it, it was not the one that I ordered. I would like to return the",resolved in favor of merchant,2020-08-26 18:38:33.513513513,0,True
DS000009,C000084,2020-01-10 20:58:22.702702702,2020-01-26 20:58:22.702702702,Incorrect Amount Charged,Electronics,89085.5,MC000074,Terms and Conditions,Staff_159,New,"The product I received was not what I ordered. The item was listed as an electronic but when I received it, it was not an electronic at all. I am very disappointed with the company and will not be using their services again. I expected to receive an electronic but instead got a piece of junk.",resolved in favor of member,2020-07-19 20:58:22.702702702,0,False
